time_sec;F_signal;F_signal_DNA
23160;199.5762313;197.4080316
23220;199.2557521;197.7822979
23280;199.3380373;197.1941652
23340;199.9660032;197.2011391
23400;199.5415849;197.501017
23460;199.1734669;197.4638229
23520;198.9049574;197.4405765
23580;199.6260355;197.5451851
23640;199.8598986;197.6893125
23700;199.8577332;197.6707154
23760;199.6953283;197.7892718
23820;199.5069385;197.1081537
23880;199.7559595;197.8218167
23940;199.5199309;198.2146801
24000;199.6996591;197.6474691
24060;199.1907901;197.9101528
24120;199.9551762;198.2356018
24180;199.4333149;197.7567269
24240;199.8815526;197.4289533
24300;199.5654043;198.1612135
24360;199.6000507;198.3913524
24420;199.6108777;197.8287906
24480;199.6173739;197.4614982
24540;199.7927712;197.328994
24600;199.2990601;197.6683908
24660;199.5957199;197.6358459
24720;199.0522045;197.8125182
24780;199.6043815;197.1360493
24840;199.872891;196.8687162
24900;199.0825201;197.1895159
24960;199.5675697;197.4940431
25020;199.7732826;197.7822979
25080;199.6823359;197.1778927
25140;199.4679613;197.4731214
25200;200.1522276;197.4986924
25260;199.7472979;197.6381705
25320;199.3120525;197.2104376
25380;199.7516287;197.5916778
25440;200.2063626;197.6381705
25500;199.6845013;197.5405358
25560;199.4419765;197.380136
25620;199.4051647;198.1472656
25680;199.7711172;197.7822979
25740;199.2600829;198.0263846
25800;199.9681686;197.7009357
25860;199.8923796;198.2588481
25920;199.0045657;197.603301
25980;199.6845013;197.5870285
26040;199.9573416;197.7915964
26100;199.9291914;197.9682687
26160;199.2319327;197.8845819
26220;199.9963188;197.8985297
26280;199.7884404;197.1964898
26340;199.0998433;197.6590922
26400;199.851237;198.0287092
26460;199.4701267;197.7729994
26520;199.4636305;198.4331958
26580;199.9573416;198.2937177
26640;200.2171896;197.3731621
26700;199.8642294;198.075202
26760;199.1648053;197.3987331
26820;200.349279;197.870634
26880;199.6845013;197.6102749
26940;200.1998664;198.2402511
27000;200.0114766;197.9659441
27060;199.5740659;197.9612948
27120;199.3705183;198.2820945
27180;199.6650127;198.02406
27240;200.0872656;197.9496716
27300;199.4441419;198.196083
27360;199.7797788;197.896205
27420;199.7841096;198.0566049
27480;199.3661875;198.2077062
27540;199.5610735;197.7892718
27600;199.7559595;198.1333178
27660;199.8122598;198.2030569
27720;199.5134347;198.5331551
27780;200.3990832;197.870634
27840;199.9660032;197.7892718
27900;199.9876572;197.800895
27960;199.9833264;197.552159
28020;199.6152085;197.0918812
28080;200.2691592;197.7962457
28140;200.5853075;198.2286279
28200;199.8598986;198.068228
28260;199.8598986;197.9078282
28320;199.3207141;197.9403731
28380;199.807929;197.826466
28440;200.4878646;198.0426571
28500;199.8685602;198.1519149
28560;200.1132504;198.7702679
28620;200.1349044;197.8566862
28680;199.6476895;197.9148021
28740;199.6476895;198.0426571
28800;199.8772218;197.8055443
28860;199.4419765;197.6683908
28920;199.775448;197.7079096
28980;199.6217047;197.6451444
29040;199.9313568;197.8311152
29100;199.7667864;197.7265067
29160;199.1994517;198.7214506
29220;199.5719005;198.2007323
29280;200.4921954;198.3588075
29340;199.5978853;197.7590515
29400;200.5376688;197.9543209
29460;199.3640221;197.5126402
29520;199.6022161;197.8473877
29580;200.3362866;198.1100715
29640;200.2886478;198.5099088
29700;200.4380604;198.444819
29760;200.4077448;198.5982449
29820;200.208528;198.2332772
29880;199.8447408;198.667984
29940;199.8144252;197.5428605
30000;200.2994748;198.0054629
30060;200.457549;198.0914744
30120;199.6476895;198.3704306
30180;200.100258;198.6214913
30240;200.5138494;198.0170861
30300;200.4488874;198.8957982
30360;200.360106;197.9264253
30420;199.5805621;198.4169233
30480;200.2388436;197.9264253
30540;200.1673854;198.2797699
30600;200.1522276;198.0194107
30660;200.5788113;197.8473877
30720;199.4268187;197.7148835
30780;200.4813684;197.8915558
30840;200.2540014;198.1891091
30900;200.0612808;198.6517115
30960;199.5545773;198.1007729
31020;199.9724994;198.419248
31080;199.6108777;198.247225
31140;199.5047731;198.2402511
31200;199.3726837;198.1774859
